title,content,created_utc,clean_text,sentiment,sentiment_class,timestamp
"XRP Price Hits 7-Year High, Now Up 274% This Month",,1733012055.0,xrp price hits year high month,0.0,neutral,2024-12-01 00:14:15
"XRP becomes world's third-largest crypto, overtakes Tether’s USDT in market cap",,1733133624.0,xrp becomes worlds thirdlargest crypto overtakes tethers usdt market cap,0.0,neutral,2024-12-02 10:00:24
XRP Surpasses $1 Mark After Over 1000 Days,,1731753196.0,xrp surpasses mark days,0.0,neutral,2024-11-16 10:33:16
Ripple co-founder Chris Larsen says he is donating $10 million in XRP to Kamala Harris. ,Chris Larsen announced on the social media platform X.,1729532507.0,ripple cofounder chris larsen says donating million xrp kamala harris chris larsen announced social media platform x,0.0,neutral,2024-10-21 17:41:47
XRP Price On The Brink Of Another Breakout: The 'Game-Changing Implications' Of Ripple's RLUSD Mints,,1733260418.0,xrp price brink another breakout gamechanging implications ripples rlusd mints,0.0,neutral,2024-12-03 21:13:38
Why are XRP users the best at blowing smoke?,"XRP is 100% riding a giant wave of red on only fact alone: the chairman of the SEC stepped down.  Beyond that, you have the inkling that trump ""might"" pick him as an advisor.  Everything else is smoke and influencers.  This is very dangerous thinking.   Why? If trump doesn't even use the CEO of ripple, it's going to drop, and drop fast.  XRP is not the only currency thar is fast with low fees, it's just one that gets the most attention along with stellar.  I won't mention the others since this post isn't about that.

Alternatively, f' it.  We're all gamblers till of these one of these cryptos is used as a real currency.  Gamble on, just realize what you are doing.  I really just want this rally to simmer down to earth a bit so it doesn't crash the entire crypto market.",1733182645.0,xrp users best blowing smoke xrp riding giant wave red fact alone chairman sec stepped beyond inkling trump might pick advisor everything else smoke influencers dangerous thinking trump doesnt even use ceo ripple going drop drop fast xrp currency thar fast low fees one gets attention along stellar wont mention others since post isnt alternatively f gamblers till one cryptos used real currency gamble realize really want rally simmer earth bit doesnt crash entire crypto market,-0.3289,negative,2024-12-02 23:37:25
Ripple co-founder donates $1 million XRP to Kamala Harris campaign PAC,,1728678092.0,ripple cofounder donates million xrp kamala harris campaign pac,0.0,neutral,2024-10-11 20:21:32
XRP price chases $2 after bull flag breakout leads to new 2024 highs,,1732924865.0,xrp price chases bull flag breakout leads new highs,0.0,neutral,2024-11-30 00:01:05
"Tax-Free Crypto in U.S : Donald Trump’s Plan to Eliminate Tax for XRP, ADA, and More",Bullish ,1731635456.0,taxfree crypto us donald trumps plan eliminate tax xrp ada bullish,0.0,neutral,2024-11-15 01:50:56
Ripple's Price Explodes Above $0.7 as XRP Bull Run Takes Off,,1731447690.0,ripples price explodes xrp bull run takes,0.0,neutral,2024-11-12 21:41:30
"Cardano's Hoskinson Apologizes to XRP Community, Calls for Industry Unity",,1731793618.0,cardanos hoskinson apologizes xrp community calls industry unity,0.3612,positive,2024-11-16 21:46:58
XRP Overtakes BNB To Become Fifth-Largest Crypto by Market Cap Following 298% Rally in November,,1733059358.0,xrp overtakes bnb become fifthlargest crypto market cap following rally november,0.0,neutral,2024-12-01 13:22:38
XRP price nears $3 after soaring 425% in a month,,1733306933.0,xrp price nears soaring month,0.0,neutral,2024-12-04 10:08:53
"Jim Cramer says: “All I can tell you is own Bitcoin, that’s a winner”",,1732289077.0,jim cramer says tell bitcoin thats winner,0.5859,positive,2024-11-22 15:24:37
21Shares Files for XRP ETF,,1730482421.0,shares files xrp etf,0.296,positive,2024-11-01 17:33:41
Ripple CEO Unveils Key Date: What XRP Holders Need to Know - Wall Street Pit,,1733531527.0,ripple ceo unveils key date xrp holders need know wall street pit,0.0,neutral,2024-12-07 00:32:07
Bitcoin is just 2% away from breaking its all-time high,,1730227781.0,bitcoin away breaking alltime high,0.0,neutral,2024-10-29 18:49:41
XRP jumps 25% as SEC may not pursue appeal after Gensler's departure,,1732269634.0,xrp jumps sec may pursue appeal genslers departure,0.0,neutral,2024-11-22 10:00:34
Ripple cryptocurrency (XRP) jumps after company to win against SEC for its security status,,1729497463.0,ripple cryptocurrency xrp jumps company win sec security status,0.7351,positive,2024-10-21 07:57:43
Will XRP Pull a 2017-Like Rally and Hit $5 Amid Open Interest Hitting All-Time High?,,1732400596.0,xrp pull like rally hit amid open interest hitting alltime high,0.6705,positive,2024-11-23 22:23:16
"XRP Price Sails Over 119% In A Week, Is The Next Target At $2?",,1731926658.0,xrp price sails week next target,0.0,neutral,2024-11-18 10:44:18
We need to have a serious talk about Marketcaps. ,"On the XRP sub and other places filled with XRP Maxis, people are saying XRP is going to hit $100 as if it's a very real and very feasible target for the community. Let's talk about what exactly that would look like. XRP has a circulating supply of 57B. At a price of $100 each that would put the marketcap of XRP at $5.7T. OVER 3X the current marketcap of BTC, and this doesn't even consider the inevitable increase in circulating supply as time passes.

Look I get it, it's fun to dream about 25x (or 250x gains for people talking about XRP to $1,000 - I'm dead serious people are talking about this) but don't let those dreams cause you to make bad investment decisions.

\---------

**You want to know what other community was talking about having a $5.9T marketcap in 2021?** In 2021 Shiba Inu to $.01 was all the rage as people swore that it was a realistic and feasible target for the meme token and many made terrible investment decisions as a result swearing that Shiba Inu was going to hit $.01. Looking at Shiba Inu now it's.... not even close to it's 2021 ATH, and lets be clear will never hit $.01.

You're welcome to dream about crazy crypto profits but don't make bad investment decisions because of those crazy dreams.",1733183629.0,need serious talk marketcaps xrp sub places filled xrp maxis people saying xrp going hit real feasible target community lets talk exactly would look like xrp circulating supply b price would put marketcap xrp x current marketcap btc doesnt even consider inevitable increase circulating supply time passes look get fun dream x x gains people talking xrp im dead serious people talking dont let dreams cause make bad investment decisions want know community talking marketcap shiba inu rage people swore realistic feasible target meme token many made terrible investment decisions result swearing shiba inu going hit looking shiba inu even close ath lets clear never hit youre welcome dream crazy crypto profits dont make bad investment decisions crazy dreams,-0.9201,negative,2024-12-02 23:53:49
‘Immense Potential’—Ripple Braced For XRP Spot ETF To Rival Bitcoin And Ethereum,,1733340620.0,immense potentialripple braced xrp spot etf rival bitcoin ethereum,0.0,neutral,2024-12-04 19:30:20
tried to give yall a little inside info but… 🤷‍♂️,,1732747404.0,tried give yall little inside info,0.0,neutral,2024-11-27 22:43:24
I hope people can see whats happening with US based cryptos and Bitcoin,"Crypto investor since 2017, made good money, enough to quit my job in my mid 30s and travel and start a business and do other things I want with my life. Doesnt mean I know anything.

It is my belief that at some point, just like every other market, there will be a bust/selection period where 99% of projects become worthless. Of the remaining survivors, maybe 5-6 take up 80-85% of the market share, 5-6 take up 5-10% and the remaining hundreds or thousands of coins make up the last 5-10%

Example: Theres Verizon, Att, T mobile at the top, then theres tracfone and boost and mint mobile, then theres 100 that nobody knows anything about. There are 100s of brands of batteries but very few companies who actually make the batteries. Tons of tv companies, 5-6 that people know, dozens that we dont, 100s of other ones, and only a handful of huge manufacturers that make everyones tvs at the same place.

This is what will happen IMO because it always does, since forever.

And while I dont really care if youre a fan of the US or not, the US is the strongest economy in the world, and it is in the best position to harness this and benefit from it and control the direction of the space in the US and global narrative. Im not saying this is the best for crypto or the world, but I think it's ignorant to outright say it wont matter.

With the US and other countries getting on board with a strategic reserve, its clear bitcoin is and will continue to be a winner for the foreseeable future.

I believe this is also why we have the Dino/US coins pumping as their leaders have recently all been meeting together with some of them like Hoskinson even getting involved directly with legislators, meeting with senators, getting in front of congress and talking about what is best for us. Founders have all recently met, are all ISO 20022 compliant, and are all going nuts. I think this is a winning recipe for this cycle and for the future and I just want people to be aware of it. These projects **XLM XRP ADA HBAR ALGO** are outperforming a lot of other coins and I believe this is why, despite people starting to call them all irrelevant before this happened.

I am saying this because this is my third cycle in the space and have wasted time and money looking for pumpy coins when if I had just kept my money where I had it 7 years ago in these Dino coins (in XRP and ADA anyways), id have been proven right in my early conviction of these projects. Look at the narrative, research it, and make an educated guess. Do not ignore these trends and its ok to take risks on meme coins with a little bit of your portfolio but make sure you are on the right side of history when it all shakes out, because it will at some point in the not so distant future.",1732914715.0,hope people see whats happening us based cryptos bitcoin crypto investor since made good money enough quit job mid travel start business things want life doesnt mean know anything belief point like every market bustselection period projects become worthless remaining survivors maybe take market share take remaining hundreds thousands coins make last example theres verizon att mobile top theres tracfone boost mint mobile theres nobody knows anything brands batteries companies actually make batteries tons tv companies people know dozens dont ones handful huge manufacturers make everyones tvs place happen imo always since forever dont really care youre fan us us strongest economy world best position harness benefit control direction space us global narrative im saying best crypto world think ignorant outright say wont matter us countries getting board strategic reserve clear bitcoin continue winner foreseeable future believe also dinous coins pumping leaders recently meeting together like hoskinson even getting involved directly legislators meeting senators getting front congress talking best us founders recently met iso compliant going nuts think winning recipe cycle future want people aware projects xlm xrp ada hbar algo outperforming lot coins believe despite people starting call irrelevant happened saying third cycle space wasted time money looking pumpy coins kept money years ago dino coins xrp ada anyways id proven right early conviction projects look narrative research make educated guess ignore trends ok take risks meme coins little bit portfolio make sure right side history shakes point distant future,0.9867,positive,2024-11-29 21:11:55
"Tron Breezes Past All-Time High After 30% Jump, Justin Sun Says TRX Equals XRP",,1733266293.0,tron breezes past alltime high jump justin sun says trx equals xrp,0.0,neutral,2024-12-03 22:51:33
"Altcoins Shine as Crypto Economy Hits $3.29T: OM, XLM, ADA and XRP Drive the Frenzy",,1732304723.0,altcoins shine crypto economy hits om xlm ada xrp drive frenzy,-0.3182,negative,2024-11-22 19:45:23
"Robinhood Crypto Expands Offering with Solana (SOL), Pepe (PEPE), Cardano (ADA) & XRP (XRP) for U.S. Customers",,1731507946.0,robinhood crypto expands offering solana sol pepe pepe cardano ada xrp xrp us customers,0.1027,positive,2024-11-13 14:25:46
